rule;side;dataset;field;filter;minus
DDR comprometida por liquidação e entradas compensatórias;left;balver;saldo_atual_credito;conta_contabil.str.startswith('8.2.1.1.3.');
DDR comprometida por liquidação e entradas compensatórias;left;balver;saldo_atual_debito;conta_contabil.str.startswith('8.2.1.1.3.');1
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.1.3.03.');
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.1.3.03.');1
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.1.3.');
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.1.3.');1
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.2.1.');
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.2.1.');1
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_debito;conta_contabil.str.startswith('1.1.3.') & indicador_superavit_financeiro=='F';1
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_credito;conta_contabil.str.startswith('1.1.3.') & indicador_superavit_financeiro=='F';
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_credito;conta_contabil.str.startswith('2.1.8.8.') & indicador_superavit_financeiro=='F';
DDR comprometida por liquidação e entradas compensatórias;right;balver;saldo_atual_debito;conta_contabil.str.startswith('2.1.8.8.') & indicador_superavit_financeiro=='F';1
