rule;side;dataset;field;filter;minus
DDR utilizada;left;balver;saldo_atual_credito;conta_contabil.str.startswith('8.2.1.1.4.');
DDR utilizada;left;balver;saldo_atual_debito;conta_contabil.str.startswith('8.2.1.1.4.');1
DDR utilizada;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.1.3.04.');
DDR utilizada;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.1.3.04.');1
DDR utilizada;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.1.4.');
DDR utilizada;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.1.4.');1
DDR utilizada;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.2.2.');
DDR utilizada;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.2.2.');1
DDR utilizada;right;balver;movimentacao_credito;conta_contabil.str.startswith('1.1.3.') & indicador_superavit_financeiro=='F';
DDR utilizada;right;balver;movimentacao_debito;conta_contabil.str.startswith('2.1.8.8.') & indicador_superavit_financeiro=='F';
DDR utilizada;right;balver;movimentacao_debito;conta_contabil.str.startswith('2.1.8.8.1.04.99.') & indicador_superavit_financeiro=='F';1
DDR utilizada;right;balver;saldo_atual_debito;conta_contabil.str.startswith('3.5.1.');
DDR utilizada;right;balver;saldo_atual_credito;conta_contabil.str.startswith('3.5.1.');
