rule;side;dataset;field;filter;minus
Fechamento dos níveis das contas de controle *.1.1.1.1.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.1.01.');
Fechamento dos níveis das contas de controle *.1.1.1.1.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.1.01.');
Fechamento dos níveis das contas de controle *.1.1.1.1.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.1.02.');
Fechamento dos níveis das contas de controle *.1.1.1.1.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.1.02.');
Fechamento dos níveis das contas de controle *.1.1.1.1.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.1.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.1.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.1.03.');
Fechamento dos níveis das contas de controle *.1.1.1.1.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.1.03.');
Fechamento dos níveis das contas de controle *.1.1.1.1.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.1.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.1.04.');
Fechamento dos níveis das contas de controle *.1.1.1.1.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.1.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.1.04.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.1.04.');
Fechamento dos níveis das contas de controle *.1.1.1.1.04.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.1.04.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.2.01.');
Fechamento dos níveis das contas de controle *.1.1.1.2.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.2.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.2.01.');
Fechamento dos níveis das contas de controle *.1.1.1.2.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.2.01.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.2.02.');
Fechamento dos níveis das contas de controle *.1.1.1.2.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.2.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.02.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.2.02.');
Fechamento dos níveis das contas de controle *.1.1.1.2.02.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.2.02.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.03.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.2.03.');
Fechamento dos níveis das contas de controle *.1.1.1.2.03.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.2.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.03.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.1.2.03.');
Fechamento dos níveis das contas de controle *.1.1.1.2.03.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.1.2.03.');1
Fechamento dos níveis das contas de controle *.1.1.1.2.04.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.1.2.04.');
Fechamento dos níveis das contas de controle *.1.1.1.2.04.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.1.2.04.');1
