rule;side;dataset;field;filter;minus
Fechamento dos níveis das contas orçamentárias *.1.1;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.1.1.');
Fechamento dos níveis das contas orçamentárias *.1.1;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.1.1.');1
Fechamento dos níveis das contas orçamentárias *.1.1;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.1.1.');
Fechamento dos níveis das contas orçamentárias *.1.1;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.1.1.');1
Fechamento dos níveis das contas orçamentárias *.1.2;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.1.2.');
Fechamento dos níveis das contas orçamentárias *.1.2;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.1.2.');1
Fechamento dos níveis das contas orçamentárias *.1.2;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.1.2.');
Fechamento dos níveis das contas orçamentárias *.1.2;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.1.2.');1
Fechamento dos níveis das contas orçamentárias *.2.1;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.1.');
Fechamento dos níveis das contas orçamentárias *.2.1;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.1.');1
Fechamento dos níveis das contas orçamentárias *.2.1;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.1.');
Fechamento dos níveis das contas orçamentárias *.2.1;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.1.');1
Fechamento dos níveis das contas orçamentárias *.2.2.1;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.1.');
Fechamento dos níveis das contas orçamentárias *.2.2.1;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.1.');1
Fechamento dos níveis das contas orçamentárias *.2.2.1;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.1.');
Fechamento dos níveis das contas orçamentárias *.2.2.1;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.1.');1
Fechamento dos níveis das contas orçamentárias *.2.2.2;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.2.');
Fechamento dos níveis das contas orçamentárias *.2.2.2;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.2.');1
Fechamento dos níveis das contas orçamentárias *.2.2.2;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.2.');
Fechamento dos níveis das contas orçamentárias *.2.2.2;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.2.');1
Fechamento dos níveis das contas orçamentárias *.2.2.3;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.3.');
Fechamento dos níveis das contas orçamentárias *.2.2.3;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.3.');1
Fechamento dos níveis das contas orçamentárias *.2.2.3;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.3.');
Fechamento dos níveis das contas orçamentárias *.2.2.3;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.3.');1
Fechamento dos níveis das contas orçamentárias *.2.2.9;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.2.2.9.');
Fechamento dos níveis das contas orçamentárias *.2.2.9;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.2.2.9.');1
Fechamento dos níveis das contas orçamentárias *.2.2.9;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.2.2.9.');
Fechamento dos níveis das contas orçamentárias *.2.2.9;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.2.2.9.');1
Fechamento dos níveis das contas orçamentárias *.3.1;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.3.1.');
Fechamento dos níveis das contas orçamentárias *.3.1;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.3.1.');1
Fechamento dos níveis das contas orçamentárias *.3.1;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.1.');
Fechamento dos níveis das contas orçamentárias *.3.1;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.1.');1
Fechamento dos níveis das contas orçamentárias *.3.2;left;balver;saldo_atual_debito;conta_contabil.str.startswith('5.3.2.');
Fechamento dos níveis das contas orçamentárias *.3.2;left;balver;saldo_atual_credito;conta_contabil.str.startswith('5.3.2.');1
Fechamento dos níveis das contas orçamentárias *.3.2;right;balver;saldo_atual_credito;conta_contabil.str.startswith('6.3.2.');
Fechamento dos níveis das contas orçamentárias *.3.2;right;balver;saldo_atual_debito;conta_contabil.str.startswith('6.3.2.');1
